wavelength (nm),air,water,glycerol,rhodaine-2pc
339.53,127.2,133.7,126.2,126.8
339.91,127.9,135.1,127.5,128.3
340.28,128.3,134.4,126.6,129
340.66,128.2,136.2,128.6,130.4
341.03,130.7,136.6,130,131.4
341.41,131.1,138.4,130.2,130.2
341.78,132.1,138,130.3,131.9
342.16,133,137.9,130.8,131.8
342.54,132.7,139.1,133.2,132.1
342.91,132.9,141.5,132.6,133.8
343.29,133.9,140.3,132.6,133.8
343.66,133.6,139.2,133.2,134.9
344.04,132.3,141.1,134.4,133.4
344.41,133.4,141.8,132.8,134.7
344.79,133.7,140.4,133.4,133.4
345.16,134.9,140.6,132.9,134.1
345.54,134.3,141.1,133.8,134.1
345.91,134.2,140.9,133.3,133.6
346.29,134,139.9,132,132.6
346.66,133.9,140.6,133.6,132.1
347.04,133.3,138.7,132.3,133.2
347.41,134.1,140.1,132,132.5
347.79,133.6,139.9,132.9,133.2
348.16,134.4,141.1,133.3,134.1
348.54,138.8,144.5,135.8,133.5
348.91,137.9,144.1,137.8,133.4
349.29,138.5,144,136.2,133.5
349.66,137.8,143.4,136.7,133.8
350.04,138.8,144.2,136.8,134.1
350.41,138.4,143.7,136,133.8
350.79,138.1,145.1,137.5,134
351.16,138.9,145.9,138,133.5
351.54,138.6,144.3,137.8,133.9
351.91,138.9,143.9,139,133.8
352.29,139,144.7,138.5,133.9
352.66,140.4,145.4,136.5,133.1
353.04,139.4,145.9,137.6,133.7
353.41,139.8,145.6,139,134
353.78,138.8,146.9,138.2,134.9
354.16,141.3,145.4,140.3,135.1
354.53,141.3,146.1,139.3,133
354.91,140.9,146.2,139.5,132.8
355.28,141.7,146.8,141.8,134.1
355.66,141.4,145.8,140.8,134.1
356.03,140.3,146.5,138.7,134.2
356.4,141.7,147.8,139.8,133.6
356.78,141.8,147,140.9,134.7
357.15,140.1,148.2,139.6,134.2
357.53,142,147,140.3,133.7
357.9,142.3,147.9,140.8,134.5
358.28,143.7,146.5,141.6,135.2
358.65,142.4,149.3,141.5,135.4
359.02,142.6,148.3,142,133.6
359.4,142.4,149.6,140.9,134.1
359.77,143.7,148.7,143.3,133.5
360.15,142.3,147.5,143.3,134.9
360.52,142.8,149.8,143.3,134.6
360.89,143.9,150.4,144.4,136.1
361.27,143.9,148.8,144.3,135.4
361.64,143.8,149.1,142.6,133.8
362.01,144.2,150.4,143.4,134.5
362.39,145.1,149.8,143.3,134.9
362.76,144.2,150.6,144.4,136.3
363.14,145.3,151.6,144.1,134.7
363.51,144.7,151.1,145.7,134.3
363.88,146.1,151.6,145.3,136.3
364.26,146.6,151.4,147.5,135.2
364.63,145.9,152.7,146.4,135
365,146.5,152,146.3,135.3
365.38,147.3,152.5,146.8,135.5
365.75,148.2,152.1,147.6,135.1
366.12,147,152.7,146.6,134.1
366.5,148,153.9,147.6,134.6
366.87,148.8,153,149.1,133.6
367.24,148.5,154.9,149.7,133.9
367.62,149.1,154.2,151.5,135.1
367.99,150.6,155,149.9,134.9
368.36,150.5,153.5,151.1,135.6
368.74,149.1,155.9,151.5,134.6
369.11,151.6,155.5,150.8,135.9
369.48,151.4,156.8,150.8,135.6
369.86,152.6,157.4,152.6,135
370.23,152.5,156.2,153.6,135.6
370.6,151.9,156.6,155.4,134.5
370.97,152.8,157.6,154,136.5
371.35,152.6,159.1,153.9,136.3
371.72,153.6,158.1,155.1,136.5
372.09,154.9,159.5,155.1,135.3
372.47,155.2,159.5,157.6,135.5
372.84,154.6,159.2,158.1,135
373.21,154.4,161.1,159.3,135.5
373.58,156.3,159.5,158.4,136.2
373.96,155.7,160,157.5,135.4
374.33,156.5,161,159.8,136.3
374.7,156.3,157.8,160.9,135
375.07,155.3,156.9,158.7,136
375.45,155.1,161.2,160.1,136.9
375.82,157.3,160.9,159.1,135.3
376.19,160.9,165.3,161.2,135.5
376.56,159.7,163.7,163.2,135.4
376.94,161.3,163.1,166.1,134.9
377.31,161.2,163,165.7,136.2
377.68,160.9,166.3,167.3,137.8
378.05,161.4,165.6,168.6,137.2
378.43,162.2,163.9,166,136
378.8,162.5,165.2,164.3,136
379.17,162.7,165.7,168.6,135.7
379.54,165,164.8,169.4,135.4
379.92,165.4,167.1,170.4,135.1
380.29,164.4,168.6,170.6,134.9
380.66,166,168.4,173.3,135.7
381.03,167.9,169.8,173.9,134.7
381.4,168,170.4,174.8,136.1
381.78,170.5,170.7,176.3,135.9
382.15,170.6,171.5,177.4,135.3
382.52,171.8,171.5,176.4,137.3
382.89,172.3,172.3,179.6,137
383.26,173.8,174.2,180.5,135.7
383.63,172.9,176,179.8,135.8
384.01,174.2,176.8,183.6,136.9
384.38,175.7,176.6,183.8,136.8
384.75,176.6,176.7,186.9,135.8
385.12,177.3,178.3,188.5,136.2
385.49,179.8,179.6,189.1,135.6
385.86,180.7,180,190.9,135.2
386.24,181.4,182.3,192.7,135
386.61,184,181.7,193.5,135.8
386.98,183,183.7,195.6,137.6
387.35,185.5,182.7,196.8,136.6
387.72,185.3,183.9,197.6,137.7
388.09,187,185.6,200.1,136.5
388.46,189.7,186.9,200.7,135.1
388.84,189,187.7,202.4,136.3
389.21,190.8,189.6,204.8,137.5
389.58,190.8,190.5,204,136.1
389.95,192.5,190,207.6,136.6
390.32,195,191.3,212,137.2
390.69,195.5,194,212.8,136.6
391.06,196.2,194.6,211.4,136.2
391.43,197.7,195.6,214.5,136.1
391.81,201.8,195.6,216.7,136.2
392.18,200.5,198.5,218.5,136.1
392.55,200,198.1,221.1,136.8
392.92,203.4,197.9,220,136.4
393.29,207.6,201.2,225.3,135.9
393.66,207.5,202.5,225.7,137.6
394.03,206.6,201.3,225.9,136.2
394.4,209.2,201,227.5,137
394.77,208.8,203.4,229.3,137.5
395.14,208.6,206.9,231.1,137
395.51,211.8,208.1,234.5,136.6
395.88,215.6,211,236.8,136.2
396.25,213.8,208.1,238.7,138
396.63,216,209.8,240.4,137.4
397,219.6,212.7,242.4,138.3
397.37,219.5,213.9,245.5,136.8
397.74,223.4,215.6,251.2,135.8
398.11,222.1,215,248.6,136.8
398.48,225.6,218.8,252.2,137.5
398.85,227.7,219.1,256.1,137.3
399.22,225.8,219.8,257.2,137.3
399.59,229.4,220.2,257.6,137
399.96,232.1,223.8,264.5,135.7
400.33,232.1,226,266.3,136.3
400.7,234.4,226.8,267.5,137.6
401.07,238.1,227.7,269.3,137.3
401.44,237.6,233.4,273.6,136.2
401.81,243.3,233.9,277.1,137.4
402.18,244.9,233.5,278.8,137.7
402.55,243.2,234.4,276.6,138.3
402.92,246.4,234.6,282.5,136.3
403.29,252.3,238.9,287.2,136.6
403.66,249.3,240.2,286.7,137.1
404.03,252.3,243.4,291.2,136.9
404.4,256,244.2,294.1,138.5
404.77,255.8,245.9,297.1,135.7
405.14,262.5,249.1,304.3,136.9
405.51,262.1,247.6,304.6,136.6
405.88,263,248.8,305.3,137.3
406.25,266.4,255.6,310.9,137.5
406.62,267.5,257.5,315.9,135.7
406.99,269.3,257.1,316.1,137.4
407.36,277.4,263.7,323.9,137.2
407.73,275.6,261.8,319.5,137
408.1,279.6,263,323.7,137.9
408.47,280.8,266.6,329.2,137.1
408.84,279.5,267.1,330.7,136.1
409.2,285,269.7,335.9,135.8
409.57,286.7,269.6,336.7,136.8
409.94,292.3,276.1,344.4,136.9
410.31,289.1,274.7,341,137
410.68,288.5,273.3,347,136.9
411.05,292.6,275.3,346.5,137.4
411.42,298.6,282,355,136.2
411.79,300.5,288.5,358.6,137.8
412.16,301.9,284.6,361.3,137.8
412.53,305.7,292.9,365.8,137.2
412.9,309.5,290.9,368.3,137.9
413.27,303.5,288.6,361.6,137.2
413.63,316.1,296.8,378.4,136.8
414,317.1,297.9,377.3,137.1
414.37,320.4,299.9,381.2,137.5
414.74,316.1,298.9,378.6,138.1
415.11,322.4,308,388.2,137
415.48,321.6,302.1,385.7,136.6
415.85,327.8,310.5,393.8,137.9
416.22,327.6,309.8,394.2,136.7
416.59,329.9,311.2,397.7,137.4
416.95,328.9,311.2,395.9,137.3
417.32,336.6,315.6,407.4,137.2
417.69,338.5,319.2,404.3,137.3
418.06,343.8,323.7,414.1,136.4
418.43,345.1,326.9,416.1,137.3
418.8,340.5,321.5,409.5,136.9
419.17,353,333.3,427.1,137.1
419.53,337.9,324.5,413.4,137.7
419.9,351.7,329.9,425.2,136.6
420.27,358.2,341.1,436.6,137.6
420.64,357.1,334.8,430.8,136.9
421.01,362.6,342.8,437.7,136.7
421.38,360,336.3,433.8,137.5
421.74,361.6,342.9,439.9,138.2
422.11,368.8,348.6,448.4,138.3
422.48,379.4,355.2,463.8,137.5
422.85,372.8,350.7,454.7,137.8
423.22,372,353.6,449,137.4
423.58,386.1,364.6,472.1,136.9
423.95,374.4,356.3,459.4,137.4
424.32,387.2,366.8,474.3,137.6
424.69,393,372.1,479.5,138
425.06,390.1,365.9,475.3,138.2
425.42,397.1,373.9,484,136.5
425.79,398.4,377.5,491,137.9
426.16,405.6,382.3,498.8,137.5
426.53,407.2,389.5,503,136.8
426.89,402.9,385.4,491.6,137
427.26,418.5,395.3,508.2,137.4
427.63,411.2,388.8,505.3,138
428,416.3,395.4,509.5,136.6
428.36,423.4,400.7,515.8,138.1
428.73,424.2,400.2,514.2,136.9
429.1,437.2,408.6,533.1,137.4
429.47,437,413,541,137.4
429.83,442.7,421.2,545.2,137.2
430.2,441.1,418.3,542.5,137
430.57,454.8,425.6,553.8,137.5
430.94,448.9,426.2,553.9,138.6
431.3,454.5,431.7,557.9,137.8
431.67,468,444.6,579.3,136.6
432.04,457.8,432.7,558.7,136.6
432.41,471.5,445.4,571.4,137.9
432.77,465.4,442.1,568.5,136.6
433.14,480.6,449.5,584,137
433.51,489.8,459.1,595.3,137.3
433.87,479.4,449.3,582.2,137.2
434.24,483.5,456,590.1,138.7
434.61,487.6,461.7,591,136.9
434.97,488.8,463.7,598,136.9
435.34,504.5,475.1,610,137.4
435.71,511.5,480,618.3,137.6
436.08,515.3,486.4,618.2,137.1
436.44,515.4,490.6,624.1,137
436.81,525.9,496.4,629.3,137.5
437.18,521.1,493.8,632,137.7
437.54,528.1,499.7,634.6,137.1
437.91,529.6,504,638.2,137.6
438.28,532.4,507.4,636.3,138.1
438.64,542.5,514,647.5,137
439.01,557,523.1,662,137.7
439.38,554,524.3,664.8,138.1
439.74,559.5,528.7,662.9,138.3
440.11,549,522.1,652.9,137.3
440.47,568,541,675.9,137.5
440.84,576,539.6,676.6,137.1
441.21,573.8,543.4,675.8,138.1
441.57,580.1,548.3,689.4,137
441.94,582.2,549.4,688.3,137.7
442.31,578.3,543.9,679.5,137.6
442.67,583.4,551.6,682.2,137.7
443.04,604.2,567,704.9,136.5
443.4,593.7,568.7,700.4,136.2
443.77,592.1,559.7,688.8,137.8
444.14,598.5,568,691.5,137
444.5,618.2,584.2,720.7,138
444.87,615.1,581,712.4,137
445.23,615.4,579.3,708.3,136.9
445.6,626.6,590.2,719.6,136.9
445.97,623.3,587.9,716.2,138.1
446.33,631.4,600.5,723.4,137.5
446.7,638.8,600.7,732.8,137.7
447.06,625.3,590.5,719.9,137
447.43,643.8,602.6,732.6,137.8
447.79,624.9,595.2,715.9,136.1
448.16,653.9,622.1,748.3,137.9
448.53,653.5,618.4,748,138.3
448.89,664,628.8,757.7,137.2
449.26,661.9,627.4,753.2,136.4
449.62,652,613.1,735.4,137.8
449.99,671.4,632.8,764.7,138.3
450.35,658.1,625.7,760.1,138.1
450.72,671.9,640.2,768.7,136.6
451.08,673.9,637.2,764.6,136.1
451.45,668.6,629.5,759.2,136.8
451.81,690,652.4,789.3,138.2
452.18,690.7,656,787.5,137.8
452.54,691.5,658.2,792.3,137.9
452.91,691.3,653.9,788.4,137.5
453.27,703.6,665.1,799.9,137.4
453.64,711.4,667.8,804.4,136.2
454,707.1,667,799.1,137.5
454.37,698.4,662.3,790.4,138.5
454.73,734.8,690.5,836,137.3
455.1,724.8,681.1,820.2,138.5
455.46,733.6,693.9,836.5,137.5
455.83,745.4,702.4,847.6,137.9
456.19,748.1,703.1,847.8,138.9
456.56,749.6,707.4,845.8,137.4
456.92,752.3,710.3,855.6,137.4
457.29,765.9,726.1,868.3,138.8
457.65,750.5,707,851.6,137.1
458.02,771,728.2,875.8,136.9
458.38,776.5,732.3,883.4,137.4
458.75,789.3,735.9,883.6,137.8
459.11,789,739.2,881,137.3
459.48,792.4,746.2,893.8,137.7
459.84,801.3,750.7,897.3,138.5
460.2,815.4,766,912.3,137.9
460.57,810.9,756,906.5,137.2
460.93,810,759.6,905.2,137.7
461.3,826.1,770.8,922.2,137.3
461.66,825.2,774.9,925.2,137.6
462.03,839.5,787.4,934.4,137.2
462.39,859.2,800.5,947.1,137.1
462.75,869.6,813.1,964.8,138.1
463.12,871.1,812.9,962.4,138.6
463.48,871.9,819.4,966.2,137.9
463.85,868.8,810.7,961.8,138
464.21,897.7,839.2,993.5,138.5
464.57,889.1,825.7,975.6,138.5
464.94,905.6,847.5,1000,137.2
465.3,911,850,1000.3,138
465.67,910.2,848.1,997.7,136.7
466.03,904.8,833.6,987.2,137.2
466.39,911.6,848.3,998.5,137.1
466.76,934.3,865.8,1011.1,136.8
467.12,940.8,870.3,1020.4,136.8
467.49,940.1,870.3,1013,137.5
467.85,960.4,885.5,1037.9,137.1
468.21,958.7,886.9,1035.7,138.5
468.58,975,903.3,1051.9,137
468.94,979.8,911.6,1065,137.7
469.3,994.2,919.6,1059.6,136.8
469.67,984.4,907.9,1047.7,138
470.03,1003,920.6,1062.5,137.9
470.39,1002.3,917.8,1068.5,136.9
470.76,1008,926.8,1071.4,137.2
471.12,1030.3,939.1,1088.6,137.2
471.48,1037.2,948.1,1102.8,137
471.85,1031.2,944.9,1088.5,136.8
472.21,1035.8,943.7,1093.4,136
472.57,1058.6,960.3,1111.9,137.7
472.94,1060.2,966.5,1119.8,138.2
473.3,1061.8,960.8,1122.1,137.9
473.66,1066,967.2,1115.1,136.3
474.03,1076.7,974,1131.4,136.3
474.39,1092.7,989.7,1141,136.8
474.75,1105.2,989.3,1147.8,135.7
475.11,1089.4,986.1,1141.3,137.2
475.48,1120.8,1003.1,1168.2,136.1
475.84,1127.8,1009.7,1178.7,137
476.2,1130.9,1014.4,1180.3,137
476.57,1148.3,1023.9,1192.7,137.9
476.93,1150.3,1026,1203.2,137.7
477.29,1154,1029,1208.4,137.1
477.65,1160.4,1029.4,1218.7,136.2
478.02,1175.4,1042,1236.9,137
478.38,1194.6,1049.6,1253.8,136.9
478.74,1198.2,1055.6,1249.5,136.7
479.1,1204.6,1051.4,1261.1,136.6
479.47,1208.4,1056,1268.5,136.7
479.83,1223.2,1062.7,1285.2,136.2
480.19,1233.8,1077.1,1293.1,136.3
480.55,1241.7,1073.5,1306.9,136.4
480.92,1246.7,1080.9,1320.4,137.4
481.28,1270,1089.7,1340,136.3
481.64,1269.2,1093.3,1345.8,136.4
482,1279.1,1091.9,1366.8,136.7
482.36,1296.1,1103.5,1377.7,137.8
482.73,1311.3,1118.7,1393.2,137.1
483.09,1319.4,1115.9,1410.8,137.5
483.45,1336.5,1129,1429.4,135.9
483.81,1353.8,1130.9,1443.3,136.5
484.17,1354.2,1136,1454.4,137.9
484.54,1371.1,1144.6,1469.5,137.2
484.9,1378.3,1141.3,1485.6,136.4
485.26,1372.1,1143.3,1500.1,137.1
485.62,1385.8,1143.4,1508.9,136.8
485.98,1392.6,1153.3,1519.3,136.3
486.35,1415.7,1164.2,1546.1,136.6
486.71,1428.2,1171.1,1565.7,136.9
487.07,1439.8,1183.3,1579,136.7
487.43,1457.4,1179.5,1582.3,137.6
487.79,1470.8,1194.9,1619.7,136.9
488.15,1475.4,1202.2,1636.6,136.5
488.52,1491.7,1202.8,1641.9,136.3
488.88,1502.5,1205.3,1661.5,136.2
489.24,1504.2,1204.6,1654.4,136.3
489.6,1518.5,1218.2,1676.4,136.5
489.96,1531,1213.3,1698,138.5
490.32,1552.5,1230.4,1722.1,137.6
490.68,1561.1,1233.3,1733.8,136.6
491.04,1571.3,1240.9,1756.6,137.2
491.41,1587.7,1249.4,1768.9,137.5
491.77,1595.9,1255.8,1774.6,136.4
492.13,1602,1251,1785.2,137
492.49,1623.8,1269.2,1816.1,136.6
492.85,1621.4,1262.1,1810.6,137.1
493.21,1648.7,1283.4,1842.6,136.1
493.57,1651.9,1279,1845.7,137.2
493.93,1665.6,1290.6,1855.2,136.7
494.29,1680.3,1295.4,1883.7,137.6
494.65,1690.2,1303.2,1899.6,136.2
495.02,1702.7,1308.2,1907.5,137.2
495.38,1715.2,1307.4,1923.5,136
495.74,1724.6,1321.3,1932.9,135.5
496.1,1735.1,1327.2,1952.1,137.1
496.46,1731.4,1332.6,1957.1,136.9
496.82,1755.6,1328,1978,136.6
497.18,1765.1,1348.5,1985.7,137.8
497.54,1787,1350.4,2003.5,137.2
497.9,1783.5,1352.2,2007.4,136.5
498.26,1799.3,1355,2021.5,136.7
498.62,1810.9,1360,2034.2,136.4
498.98,1818.9,1362.6,2043.9,137.8
499.34,1829.7,1368.5,2047.4,136.9
499.7,1826,1373.6,2055.8,135.9
500.06,1848,1379.6,2065.6,136.8
500.42,1851.3,1372,2075.6,135.9
500.78,1867.1,1386.8,2099,136.9
501.14,1873.7,1379.6,2114.1,137
501.5,1885.2,1390.8,2112.3,137.4
501.86,1895.2,1396.5,2133,136.9
502.22,1901.5,1385,2130.8,137.1
502.58,1909.2,1398,2142.5,136.6
502.94,1914.8,1395.6,2146.8,137.4
503.3,1933,1409.5,2155.5,136.6
503.66,1931.6,1406.2,2145.4,137.3
504.02,1942.6,1412.2,2169.3,136.6
504.38,1939.7,1402.3,2180.7,136.4
504.74,1950.2,1406.9,2181.2,137.2
505.1,1958.8,1403,2196.9,137
505.46,1966.3,1402.9,2194.6,136.5
505.82,1980.7,1413.7,2211.3,136.1
506.18,1982.7,1403.5,2213.2,135.9
506.54,1994.1,1409.8,2231.4,136.6
506.9,1983.9,1407,2229.6,136.9
507.26,1979.4,1400.9,2234.1,137.6
507.62,1990.3,1390.4,2239.1,137.6
507.98,2011.9,1389.6,2242,136.8
508.34,1993.3,1380.1,2243.1,136
508.7,1992.8,1378.8,2246.8,136.8
509.06,2018,1383.1,2258.8,136.1
509.42,2000.5,1369.5,2241.9,136
509.78,2020.7,1371.9,2268.5,136
510.14,2017.5,1357.2,2260.4,136.2
510.5,2027.2,1363.1,2272.5,137.4
510.85,2022.4,1348.7,2270.7,136.7
511.21,2033,1340.6,2270,137.3
511.57,2029.8,1335,2276.7,137.9
511.93,2043.9,1331.4,2301.2,135.6
512.29,2045.7,1325.6,2291.6,137.2
512.65,2046.2,1316.7,2291.3,135.6
513.01,2049.4,1307.3,2295,136.4
513.37,2054.2,1302,2298.9,137.2
513.73,2058,1296.9,2305.3,135.8
514.09,2055.3,1287,2316.5,138.1
514.44,2066.6,1285.5,2343.1,138.1
514.8,2056.5,1268.5,2319.8,136.9
515.16,2062.9,1259.8,2306.8,137.2
515.52,2062.7,1247.7,2315.3,136.4
515.88,2074.3,1246.4,2344.3,136.6
516.24,2072,1236.5,2322.6,136.1
516.6,2081.3,1223.6,2331.2,137.2
516.95,2078.5,1208.3,2324.3,136.7
517.31,2086,1206.4,2339.4,137.6
517.67,2098.7,1208.7,2353.3,136.9
518.03,2096.3,1193.9,2347.7,136.3
518.39,2105.4,1190.7,2359.2,135.9
518.75,2093.1,1175.8,2356.2,135.7
519.1,2091.1,1163.6,2356.2,138
519.46,2110.4,1162.4,2381.1,137.1
519.82,2110.6,1155,2371.4,138
520.18,2115.4,1152.1,2387,136.7
520.54,2113.9,1139.7,2390.2,136.4
520.9,2109.3,1138,2395.9,136.2
521.25,2122.1,1129.4,2381.7,136.8
521.61,2137.8,1124.4,2402.7,137
521.97,2146.6,1118.7,2408.7,138
522.33,2138.8,1110.4,2414.8,136.3
522.69,2147.8,1106.9,2431.2,135.4
523.04,2155.4,1107.9,2429.1,136.6
523.4,2152.5,1097.4,2432.3,136.4
523.76,2151.7,1101,2449.7,137.8
524.12,2168.2,1103,2469.9,137.5
524.47,2171.2,1099.8,2463.1,136
524.83,2169.1,1095.5,2454.5,136.7
525.19,2181.7,1095.3,2475,136.8
525.55,2171.8,1087.4,2463.1,137.5
525.9,2198.1,1086.2,2476.8,137.6
526.26,2191.1,1089.4,2479,136.5
526.62,2197.5,1088,2494.6,136.1
526.98,2208.9,1093.1,2498.9,137.4
527.33,2212.6,1097.3,2512.3,136.6
527.69,2226.7,1093.9,2507.3,135.6
528.05,2240.9,1108.4,2539.8,135.6
528.41,2235.7,1113.1,2538.8,136.2
528.76,2251.7,1120,2541.7,137
529.12,2246.7,1123.4,2549.9,136.3
529.48,2279.6,1132.4,2568,137
529.83,2277.4,1138.9,2565,136.9
530.19,2277.9,1143,2577.3,137.7
530.55,2277.5,1158.8,2593.5,136
